actor,premios,valores
Daniel Day-Lewis,Academy Awards,3
Daniel Day-Lewis,BAFTA Awards,3
Daniel Day-Lewis,Satellite Awards,3
Daniel Day-Lewis,"Golde Globes, USA",6
Daniel Day-Lewis,Critics Choice Awards,1
Daniel Day-Lewis,Screen Actors Guild Awards,2
Robert Downey Jr.,Academy Awards,2
Robert Downey Jr.,BAFTA Awards,1
Robert Downey Jr.,Satellite Awards,3
Robert Downey Jr.,"Golde Globes, USA",2
Robert Downey Jr.,Critics Choice Awards,3
Robert Downey Jr.,Screen Actors Guild Awards,3
Robin Williams,Academy Awards,3
Robin Williams,BAFTA Awards,2
Robin Williams,Satellite Awards,3
Robin Williams,"Golde Globes, USA",7
Robin Williams,Critics Choice Awards,1
Robin Williams,Screen Actors Guild Awards,2
