valores,labels,ciudades
79.8,Condiciones Laborales,Punta Arenas
69.44,Condiciones Laborales,Puerto Varas
70.76,Condiciones Laborales,Valparaiso
24.58,Ambiente de Negocios,Punta Arenas
38.9,Ambiente de Negocios,Puerto Varas
20.45,Ambiente de Negocios,Valparaiso
49.07,Condiciones Socioculturales,Punta Arenas
42.16,Condiciones Socioculturales,Puerto Varas
39.66,Condiciones Socioculturales,Valparaiso
66.37,Conectividad y Movilidad,Punta Arenas
48.2,Conectividad y Movilidad,Puerto Varas
59.94,Conectividad y Movilidad,Valparaiso
66.68,Salud y Medio Ambiente,Punta Arenas
67.86,Salud y Medio Ambiente,Puerto Varas
44.03,Salud y Medio Ambiente,Valparaiso
44.03,Vivienda y Entorno,Punta Arenas
50.51,Vivienda y Entorno,Puerto Varas
30.7,Vivienda y Entorno,Valparaiso
55.09,ICVU,Punta Arenas
52.79,ICVU,Puerto Varas
47.05,ICVU,Valparaiso
